Date,GDPC1,DGS2Y,DGS5Y,DGS10Y,DGS30Y
1967-10-01,4615.853,0.0,5.398499999999999,5.3020000000000005,0.0
1967-10-31,4615.853,0.0,5.567142857142858,5.480952380952381,0.0
1967-11-30,4615.853,0.0,5.775,5.753500000000001,0.0
1967-12-31,4615.853,0.0,5.7545,5.699000000000001,0.0
1968-01-01,4709.993,0.0,5.7545,5.699000000000001,0.0
1968-01-31,4709.993,0.0,5.536363636363636,5.528636363636364,0.0
1968-02-29,4709.993,0.0,5.586315789473684,5.563684210526316,0.0
1968-03-31,4709.993,0.0,5.757142857142857,5.74,0.0
1968-04-01,4788.688,0.0,5.757142857142857,5.74,0.0
1968-04-30,4788.688,0.0,5.6945,5.6385,0.0
1968-05-31,4788.688,0.0,6.037727272727272,5.869545454545454,0.0
1968-06-30,4788.688,0.0,5.846500000000001,5.718,0.0
1968-07-01,4825.799,0.0,5.846500000000001,5.718,0.0
1968-07-31,4825.799,0.0,5.598636363636363,5.495454545454546,0.0
1968-08-31,4825.799,0.0,5.494999999999999,5.420454545454545,0.0
1968-09-30,4825.799,0.0,5.475999999999998,5.46,0.0
1968-10-01,4844.779,0.0,5.475999999999998,5.46,0.0
1968-10-31,4844.779,0.0,5.553478260869565,5.582608695652173,0.0
1968-11-30,4844.779,0.0,5.658888888888889,5.696111111111112,0.0
1968-12-31,4844.779,0.0,6.1171428571428565,6.031904761904761,0.0
1969-01-01,4920.605,0.0,6.1171428571428565,6.031904761904761,0.0
1969-01-31,4920.605,0.0,6.25,6.041818181818183,0.0
1969-02-28,4920.605,0.0,6.341578947368421,6.188947368421052,0.0
1969-03-31,4920.605,0.0,6.410500000000001,6.295999999999999,0.0
1969-04-01,4935.564,0.0,6.410500000000001,6.295999999999999,0.0
1969-04-30,4935.564,0.0,6.296190476190477,6.173333333333333,0.0
1969-05-31,4935.564,0.0,6.535238095238095,6.323333333333333,0.0
1969-06-30,4935.564,0.0,6.746666666666665,6.574285714285713,0.0
1969-07-01,4968.164,0.0,6.746666666666665,6.574285714285713,0.0
1969-07-31,4968.164,0.0,7.013333333333334,6.71952380952381,0.0
1969-08-31,4968.164,0.0,7.0252380952380955,6.691428571428573,0.0
1969-09-30,4968.164,0.0,7.567142857142857,7.159523809523808,0.0
1969-10-01,4943.935,0.0,7.567142857142857,7.159523809523808,0.0
1969-10-31,4943.935,0.0,7.5054545454545485,7.095454545454545,0.0
1969-11-30,4943.935,0.0,7.526470588235293,7.144117647058825,0.0
1969-12-31,4943.935,0.0,7.960454545454545,7.65409090909091,0.0
1970-01-01,4936.594,0.0,7.960454545454545,7.65409090909091,0.0
1970-01-31,4936.594,0.0,8.165714285714285,7.794761904761903,0.0
1970-02-28,4936.594,0.0,7.824444444444443,7.238333333333334,0.0
1970-03-31,4936.594,0.0,7.21,7.072857142857144,0.0
1970-04-01,4943.6,0.0,7.21,7.072857142857144,0.0
1970-04-30,4943.6,0.0,7.501363636363635,7.390909090909091,0.0
1970-05-31,4943.6,0.0,7.969047619047619,7.906190476190475,0.0
1970-06-30,4943.6,0.0,7.853636363636365,7.841818181818184,0.0
1970-07-01,4989.159,0.0,7.853636363636365,7.841818181818184,0.0
1970-07-31,4989.159,0.0,7.5895454545454575,7.457272727272726,0.0
1970-08-31,4989.159,0.0,7.57238095238095,7.5271428571428585,0.0
1970-09-30,4989.159,0.0,7.294761904761905,7.38952380952381,0.0
1970-10-01,4935.693,0.0,7.294761904761905,7.38952380952381,0.0
1970-10-31,4935.693,0.0,7.115238095238096,7.326666666666666,0.0
1970-11-30,4935.693,0.0,6.468333333333333,6.841111111111112,0.0
1970-12-31,4935.693,0.0,5.950909090909092,6.391363636363637,0.0
1971-01-01,5069.746,0.0,5.950909090909092,6.391363636363637,0.0
1971-01-31,5069.746,0.0,5.888,6.238500000000001,0.0
1971-02-28,5069.746,0.0,5.562222222222221,6.112222222222223,0.0
1971-03-31,5069.746,0.0,5.003913043478262,5.7034782608695656,0.0
1971-04-01,5097.179,0.0,5.003913043478262,5.7034782608695656,0.0
1971-04-30,5097.179,0.0,5.652380952380951,5.8338095238095224,0.0
1971-05-31,5097.179,0.0,6.281999999999998,6.3925,0.0
1971-06-30,5097.179,0.0,6.529545454545455,6.5222727272727266,0.0
1971-07-01,5139.128,0.0,6.529545454545455,6.5222727272727266,0.0
1971-07-31,5139.128,0.0,6.849999999999999,6.729523809523809,0.0
1971-08-31,5139.128,0.0,6.549545454545455,6.582727272727274,0.0
1971-09-30,5139.128,0.0,6.137142857142855,6.13952380952381,0.0
1971-10-01,5151.245,0.0,6.137142857142855,6.13952380952381,0.0
1971-10-31,5151.245,0.0,5.925789473684212,5.925789473684212,0.0
1971-11-30,5151.245,0.0,5.781,5.81,0.0
1971-12-31,5151.245,0.0,5.6895454545454545,5.926363636363636,0.0
1972-01-01,5245.974,0.0,5.6895454545454545,5.926363636363636,0.0
1972-01-31,5245.974,0.0,5.593333333333333,5.947619047619047,0.0
1972-02-29,5245.974,0.0,5.6915000000000004,6.081,0.0
1972-03-31,5245.974,0.0,5.870454545454546,6.068636363636363,0.0
1972-04-01,5365.045,0.0,5.870454545454546,6.068636363636363,0.0
1972-04-30,5365.045,0.0,6.1705000000000005,6.194499999999999,0.0
1972-05-31,5365.045,0.0,5.852727272727273,6.126363636363636,0.0
1972-06-30,5365.045,0.0,5.906818181818181,6.1068181818181815,0.0
1972-07-01,5415.712,0.0,5.906818181818181,6.1068181818181815,0.0
1972-07-31,5415.712,0.0,5.9719999999999995,6.113,0.0
1972-08-31,5415.712,0.0,6.018695652173913,6.2104347826086945,0.0
1972-09-30,5415.712,0.0,6.2505,6.5495,0.0
1972-10-01,5506.396,0.0,6.2505,6.5495,0.0
1972-10-31,5506.396,0.0,6.1819999999999995,6.4795,0.0
1972-11-30,5506.396,0.0,6.1165,6.280499999999999,0.0
1972-12-31,5506.396,0.0,6.158500000000002,6.358500000000001,0.0
1973-01-01,5642.669,0.0,6.158500000000002,6.358500000000001,0.0
1973-01-31,5642.669,0.0,6.341363636363635,6.464545454545455,0.0
1973-02-28,5642.669,0.0,6.6,6.635555555555555,0.0
1973-03-31,5642.669,0.0,6.804545454545454,6.70909090909091,0.0
1973-04-01,5704.098,0.0,6.804545454545454,6.70909090909091,0.0
1973-04-30,5704.098,0.0,6.672499999999999,6.668499999999999,0.0
1973-05-31,5704.098,0.0,6.803181818181819,6.847272727272728,0.0
1973-06-30,5704.098,0.0,6.69,6.899999999999999,0.0
1973-07-01,5674.1,0.0,6.69,6.899999999999999,0.0
1973-07-31,5674.1,0.0,7.334761904761907,7.130952380952381,0.0
1973-08-31,5674.1,0.0,7.628695652173912,7.404782608695651,0.0
1973-09-30,5674.1,0.0,7.053684210526316,7.0905263157894725,0.0
1973-10-01,5727.96,0.0,7.053684210526316,7.0905263157894725,0.0
1973-10-31,5727.96,0.0,6.771428571428572,6.794285714285716,0.0
1973-11-30,5727.96,0.0,6.9174999999999995,6.7284999999999995,0.0
1973-12-31,5727.96,0.0,6.796842105263159,6.743684210526314,0.0
1974-01-01,5678.713,0.0,6.796842105263159,6.743684210526314,0.0
1974-01-31,5678.713,0.0,6.948636363636362,6.988636363636362,0.0
1974-02-28,5678.713,0.0,6.816666666666666,6.957222222222223,0.0
1974-03-31,5678.713,0.0,7.312857142857142,7.2090476190476185,0.0
1974-04-01,5692.21,0.0,7.312857142857142,7.2090476190476185,0.0
1974-04-30,5692.21,0.0,7.919999999999998,7.512380952380953,0.0
1974-05-31,5692.21,0.0,8.179545454545455,7.575909090909093,0.0
1974-06-30,5692.21,0.0,8.096,7.535499999999997,0.0
1974-07-01,5638.411,0.0,8.096,7.535499999999997,0.0
1974-07-31,5638.411,0.0,8.375909090909092,7.804999999999998,0.0
1974-08-31,5638.411,0.0,8.63,8.04409090909091,0.0
1974-09-30,5638.411,0.0,8.374500000000001,8.0375,0.0
1974-10-01,5616.526,0.0,8.374500000000001,8.0375,0.0
1974-10-31,5616.526,0.0,7.96772727272727,7.896818181818182,0.0
1974-11-30,5616.526,0.0,7.678333333333332,7.681111111111109,0.0
1974-12-31,5616.526,0.0,7.30904761904762,7.433809523809523,0.0
1975-01-01,5548.156,0.0,7.30904761904762,7.433809523809523,0.0
1975-01-31,5548.156,0.0,7.405454545454546,7.501363636363638,0.0
1975-02-28,5548.156,0.0,7.112777777777778,7.392222222222222,0.0
1975-03-31,5548.156,0.0,7.303500000000002,7.728,0.0
1975-04-01,5587.8,0.0,7.303500000000002,7.728,0.0
1975-04-30,5587.8,0.0,7.986363636363635,8.226818181818182,0.0
1975-05-31,5587.8,0.0,7.720000000000001,8.05952380952381,0.0
1975-06-30,5587.8,0.0,7.511904761904761,7.86095238095238,0.0
1975-07-01,5683.444,0.0,7.511904761904761,7.86095238095238,0.0
1975-07-31,5683.444,0.0,7.923181818181818,8.061363636363636,0.0
1975-08-31,5683.444,0.0,8.328095238095237,8.397619047619049,0.0
1975-09-30,5683.444,0.0,8.365714285714287,8.426666666666666,0.0
1975-10-01,5759.972,0.0,8.365714285714287,8.426666666666666,0.0
1975-10-31,5759.972,0.0,7.97409090909091,8.137727272727272,0.0
1975-11-30,5759.972,0.0,7.801176470588236,8.05294117647059,0.0
1975-12-31,5759.972,0.0,7.758636363636364,7.996818181818181,0.0
1976-01-01,5889.5,0.0,7.758636363636364,7.996818181818181,0.0
1976-01-31,5889.5,0.0,7.456666666666668,7.7423809523809535,0.0
1976-02-29,5889.5,0.0,7.448333333333333,7.792777777777778,0.0
1976-03-31,5889.5,0.0,7.489565217391304,7.734347826086955,0.0
1976-04-01,5932.711,0.0,7.489565217391304,7.734347826086955,0.0
1976-04-30,5932.711,0.0,7.253333333333335,7.564285714285714,0.0
1976-05-31,5932.711,0.0,7.589999999999999,7.8950000000000005,0.0
1976-06-30,5932.711,7.060000000000002,7.606818181818184,7.861363636363638,0.0
1976-07-01,5965.265,7.060000000000002,7.606818181818184,7.861363636363638,0.0
1976-07-31,5965.265,6.850000000000001,7.487619047619048,7.831904761904762,0.0
1976-08-31,5965.265,6.631363636363636,7.306818181818182,7.7686363636363645,0.0
1976-09-30,5965.265,6.416190476190477,7.1295238095238105,7.594285714285715,0.0
1976-10-01,6008.504,6.416190476190477,7.1295238095238105,7.594285714285715,0.0
1976-10-31,6008.504,5.984,6.752,7.411,0.0
1976-11-30,6008.504,5.81,6.519473684210526,7.291052631578946,0.0
1976-12-31,6008.504,5.376818181818184,6.104545454545454,6.869090909090909,0.0
1977-01-01,6079.494,5.376818181818184,6.104545454545454,6.869090909090909,0.0
1977-01-31,6079.494,5.89952380952381,6.583333333333333,7.213333333333336,0.0
1977-02-28,6079.494,6.088421052631579,6.830000000000001,7.3910526315789475,7.754444444444443
1977-03-31,6079.494,6.086521739130435,6.928260869565219,7.459999999999999,7.796086956521741
1977-04-01,6197.686,6.086521739130435,6.928260869565219,7.459999999999999,7.796086956521741
1977-04-30,6197.686,5.963500000000001,6.791999999999999,7.3705,7.7345
1977-05-31,6197.686,6.254761904761905,6.939047619047619,7.456666666666664,7.798095238095239
1977-06-30,6197.686,6.127272727272729,6.756818181818181,7.2754545454545445,7.635909090909094
1977-07-01,6309.514,6.127272727272729,6.756818181818181,7.2754545454545445,7.635909090909094
1977-07-31,6309.514,6.274736842105263,6.844210526315789,7.329999999999999,7.644736842105263
1977-08-31,6309.514,6.611304347826087,7.028260869565218,7.396521739130436,7.683478260869565
1977-09-30,6309.514,6.714285714285714,7.040476190476191,7.343809523809522,7.643333333333334
1977-10-01,6309.652,6.714285714285714,7.040476190476191,7.343809523809522,7.643333333333334
1977-10-31,6309.652,7.106,7.32,7.523500000000001,7.7745000000000015
1977-11-30,6309.652,7.142631578947369,7.338947368421054,7.577368421052633,7.846842105263158
1977-12-31,6309.652,7.176666666666664,7.478571428571428,7.685238095238096,7.940476190476192
1978-01-01,6329.791,7.176666666666664,7.478571428571428,7.685238095238096,7.940476190476192
1978-01-31,6329.791,7.485714285714285,7.766190476190478,7.956190476190477,8.17952380952381
1978-02-28,6329.791,7.565000000000001,7.8322222222222235,8.033333333333333,8.254444444444445
1978-03-31,6329.791,7.574999999999999,7.857727272727273,8.03590909090909,8.234090909090911
1978-04-01,6574.39,7.574999999999999,7.857727272727273,8.03590909090909,8.234090909090911
1978-04-30,6574.39,7.7435,7.9825,8.154,8.34
1978-05-31,6574.39,8.006190476190476,8.175714285714287,8.345714285714287,8.434761904761904
1978-06-30,6574.39,8.239545454545452,8.355,8.462272727272728,8.500454545454547
1978-07-01,6640.497,8.239545454545452,8.355,8.462272727272728,8.500454545454547
1978-07-31,6640.497,8.489500000000001,8.536499999999998,8.64,8.6495
1978-08-31,6640.497,8.366521739130434,8.333913043478262,8.410869565217391,8.473478260869564
1978-09-30,6640.497,8.565499999999998,8.427499999999998,8.4165,8.471
1978-10-01,6729.755,8.565499999999998,8.427499999999998,8.4165,8.471
1978-10-31,6729.755,8.853809523809524,8.614761904761902,8.642380952380952,8.669047619047621
1978-11-30,6729.755,9.4245,8.835,8.805000000000003,8.7515
1978-12-31,6729.755,9.715499999999997,9.084,9.006499999999999,8.8845
1979-01-01,6741.854,9.715499999999997,9.084,9.006499999999999,8.8845
1979-01-31,6741.854,9.859999999999998,9.202727272727271,9.099545454545455,8.938181818181818
1979-02-28,6741.854,9.716666666666665,9.133888888888889,9.098333333333334,9.000555555555557
1979-03-31,6741.854,9.789545454545454,9.202272727272726,9.117272727272729,9.030909090909093
1979-04-01,6749.063,9.789545454545454,9.202272727272726,9.117272727272729,9.030909090909093
1979-04-30,6749.063,9.7785,9.249499999999998,9.182,9.084500000000002
1979-05-31,6749.063,9.783809523809527,9.237142857142857,9.252380952380951,9.193333333333333
1979-06-30,6749.063,9.22047619047619,8.84904761904762,8.913809523809524,8.923333333333334
1979-07-01,6799.2,9.22047619047619,8.84904761904762,8.913809523809524,8.923333333333334
1979-07-31,6799.2,9.137619047619047,8.897619047619047,8.950000000000001,8.931904761904761
1979-08-31,6799.2,9.458695652173912,9.060434782608695,9.029565217391307,8.977826086956524
1979-09-30,6799.2,10.056315789473683,9.408421052631576,9.334736842105263,9.16894736842105
1979-10-01,6816.203,10.056315789473683,9.408421052631576,9.334736842105263,9.16894736842105
1979-10-31,6816.203,11.489545454545457,10.627727272727276,10.29909090909091,9.84772727272727
1979-11-30,6816.203,11.808421052631578,10.925263157894737,10.653157894736841,10.300526315789476
1979-12-31,6816.203,11.3905,10.4155,10.386000000000001,10.123999999999999
1980-01-01,6837.641,11.3905,10.4155,10.386000000000001,10.123999999999999
1980-01-31,6837.641,11.498181818181818,10.743636363636368,10.802272727272726,10.595000000000002
1980-02-29,6837.641,13.418421052631578,12.596315789473683,12.414736842105265,12.133157894736842
1980-03-31,6837.641,14.884761904761907,13.469523809523807,12.749047619047618,12.339047619047616
1980-04-01,6696.753,14.884761904761907,13.469523809523807,12.749047619047618,12.339047619047616
1980-04-30,6696.753,12.501904761904763,11.843809523809522,11.473333333333333,11.399999999999999
1980-05-31,6696.753,9.449999999999998,9.945714285714285,10.181428571428572,10.361428571428572
1980-06-30,6696.753,8.72809523809524,9.211428571428572,9.778095238095238,9.81333333333333
1980-07-01,6688.794,8.72809523809524,9.211428571428572,9.778095238095238,9.81333333333333
1980-07-31,6688.794,9.029545454545456,9.528636363636366,10.247727272727273,10.238636363636367
1980-08-31,6688.794,10.52761904761905,10.83904761904762,11.101904761904764,11.000952380952382
1980-09-30,6688.794,11.574761904761903,11.618095238095236,11.508571428571429,11.33952380952381
1980-10-01,6813.535,11.574761904761903,11.618095238095236,11.508571428571429,11.33952380952381
1980-10-31,6813.535,12.088181818181816,11.861363636363636,11.751363636363633,11.585909090909091
1980-11-30,6813.535,13.514117647058825,12.83470588235294,12.684705882352942,12.369411764705884
1980-12-31,6813.535,14.076818181818185,13.247272727272728,12.844090909090907,12.395454545454545
1981-01-01,6947.042,14.076818181818185,13.247272727272728,12.844090909090907,12.395454545454545
1981-01-31,6947.042,13.262380952380951,12.770476190476192,12.568571428571431,12.142857142857144
1981-02-28,6947.042,13.91888888888889,13.41222222222222,13.194444444444448,12.802222222222222
1981-03-31,6947.042,13.568636363636365,13.408181818181816,13.115909090909094,12.68590909090909
1981-04-01,6895.559,13.568636363636365,13.408181818181816,13.115909090909094,12.68590909090909
1981-04-30,6895.559,14.15142857142857,13.99095238095238,13.679523809523811,13.196190476190473
1981-05-31,6895.559,15.456999999999999,14.625000000000004,14.0995,13.602500000000003
1981-06-30,6895.559,14.50590909090909,13.953181818181816,13.47227272727273,12.960454545454548
1981-07-01,6978.135,14.50590909090909,13.953181818181816,13.47227272727273,12.960454545454548
1981-07-31,6978.135,15.354090909090905,14.79,14.280909090909091,13.588636363636363
1981-08-31,6978.135,16.284761904761904,15.563809523809523,14.93714285714286,14.167619047619045
1981-09-30,6978.135,16.457619047619044,15.930000000000001,15.32380952380952,14.666666666666664
1981-10-01,6902.105,16.457619047619044,15.930000000000001,15.32380952380952,14.666666666666664
1981-10-31,6902.105,15.542857142857141,15.406666666666665,15.14809523809524,14.684285714285714
1981-11-30,6902.105,12.881666666666668,13.375555555555556,13.392777777777773,13.35277777777778
1981-12-31,6902.105,13.290454545454544,13.60045454545455,13.724545454545456,13.454545454545455
1982-01-01,6794.878,13.290454545454544,13.60045454545455,13.724545454545456,13.454545454545455
1982-01-31,6794.878,14.568000000000001,14.645500000000002,14.594,14.224
1982-02-28,6794.878,14.823333333333336,14.540555555555553,14.425555555555556,14.219444444444447
1982-03-31,6794.878,14.194347826086956,13.977391304347824,13.861304347826087,13.533043478260868
1982-04-01,6825.876,14.194347826086956,13.977391304347824,13.861304347826087,13.533043478260868
